Time,Real cid,Classified cid,Score,Queue Distribution,Representive,Percentage,Queue Size,Dominated
12715,303.0,1245430.0,851664.0,"[492177.0, 359487.0]","[50, 36]"
57569,303.0,30068740.0,128299609.0,"[9597630.0, 8305097.0, 8305097.0, 8305097.0, 8305097.0, 8305097.0, 8305097.0, 8305097.0, 8305097.0, 8305097.0, 8305097.0, 8305097.0, 8305097.0, 8305097.0, 2430621.0, 8305097.0]","[750, 619, 619, 619, 619, 619, 619, 619, 619, 619, 619, 619, 619, 619, 148, 619]"
61043,303.0,32302482.0,143855911.0,"[8938830.0, 10378237.0, 10378237.0, 10378237.0, 10378237.0, 10378237.0, 10378237.0, 10378237.0, 10378237.0, 10378237.0, 10378237.0, 10378237.0, 10378237.0, 10378237.0]","[650, 771, 771, 771, 771, 771, 771, 771, 771, 771, 771, 771, 771, 771]"
63221,303.0,33705385.0,151238859.0,"[10900778.0, 9156904.0, 9156904.0, 9156904.0, 9156904.0, 9156904.0, 9156904.0, 9156904.0, 9156904.0, 9156904.0, 9156904.0, 9156904.0, 9156904.0, 9156904.0, 2984521.0, 9156904.0, 9156904.0]","[800, 669, 669, 669, 669, 669, 669, 669, 669, 669, 669, 669, 669, 669, 183, 669, 669]"
65749,303.0,35333610.0,167076663.0,"[11364837.0, 9529041.0, 9529041.0, 9529041.0, 9529041.0, 9529041.0, 9529041.0, 9529041.0, 9529041.0, 9529041.0, 9529041.0, 9529041.0, 9529041.0, 9529041.0, 3247170.0, 9529041.0, 9529041.0, 9529041.0]","[850, 692, 692, 692, 692, 692, 692, 692, 692, 692, 692, 692, 692, 692, 202, 692, 692, 692]"
67282,303.0,36318447.0,173110683.0,"[9709501.0, 11671513.0, 11671513.0, 11671513.0, 11671513.0, 11671513.0, 11671513.0, 11671513.0, 11671513.0, 11671513.0, 11671513.0, 11671513.0, 11671513.0, 11671513.0, 11671513.0]","[700, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866]"
68772,303.0,37277567.0,176057220.0,"[11953836.0, 9811824.0, 9811824.0, 9811824.0, 9811824.0, 9811824.0, 9811824.0, 9811824.0, 9811824.0, 9811824.0, 9811824.0, 9811824.0, 9811824.0, 9811824.0, 3557100.0, 9811824.0, 9811824.0, 9811824.0, 3557100.0]","[900, 709, 709, 709, 709, 709, 709, 709, 709, 709, 709, 709, 709, 709, 219, 709, 709, 709, 219]"
71482,303.0,39020201.0,188038811.0,"[12567985.0, 10240138.0, 10240138.0, 10240138.0, 10240138.0, 10240138.0, 10240138.0, 10240138.0, 10240138.0, 10240138.0, 10240138.0, 10240138.0, 10240138.0, 10240138.0, 3876206.0, 10240138.0, 10240138.0, 10240138.0, 3876206.0, 3876206.0]","[950, 734, 734, 734, 734, 734, 734, 734, 734, 734, 734, 734, 734, 734, 235, 734, 734, 734, 235, 235]"
73346,303.0,40218507.0,206270366.0,"[10586516.0, 13045590.0, 13045590.0, 13045590.0, 13045590.0, 13045590.0, 13045590.0, 13045590.0, 13045590.0, 13045590.0, 13045590.0, 13045590.0, 13045590.0, 13045590.0, 13045590.0, 13045590.0]","[750, 972, 972, 972, 972, 972, 972, 972, 972, 972, 972, 972, 972, 972, 972, 972]"
75107,303.0,41350265.0,203557066.0,"[13518870.0, 10795398.0, 10795398.0, 10795398.0, 10795398.0, 10795398.0, 10795398.0, 10795398.0, 10795398.0, 10795398.0, 10795398.0, 10795398.0, 10795398.0, 10795398.0, 4327957.0, 10795398.0, 10795398.0, 10795398.0, 4327957.0, 4327957.0, 4327957.0]","[1000, 765, 765, 765, 765, 765, 765, 765, 765, 765, 765, 765, 765, 765, 255, 765, 765, 765, 255, 255, 255]"
78777,303.0,43712780.0,220072960.0,"[14493119.0, 11340676.0, 11340676.0, 11340676.0, 11340676.0, 11340676.0, 11340676.0, 11340676.0, 11340676.0, 11340676.0, 11340676.0, 11340676.0, 11340676.0, 11340676.0, 4825805.0, 11340676.0, 11340676.0, 11340676.0, 4825805.0, 4825805.0, 4825805.0, 4825805.0]","[1050, 795, 795, 795, 795, 795, 795, 795, 795, 795, 795, 795, 795, 795, 281, 795, 795, 795, 281, 281, 281, 281]"
79334,303.0,44072501.0,245761512.0,"[11391672.0, 14648115.0, 14648115.0, 14648115.0, 14648115.0, 14648115.0, 14648115.0, 14648115.0, 14648115.0, 14648115.0, 14648115.0, 14648115.0, 14648115.0, 14648115.0, 14648115.0, 14648115.0, 14648115.0]","[800, 1056, 1056, 1056, 1056, 1056, 1056, 1056, 1056, 1056, 1056, 1056, 1056, 1056, 1056, 1056, 1056]"
81859,303.0,45696397.0,235986314.0,"[15393236.0, 11846166.0, 11846166.0, 11846166.0, 11846166.0, 11846166.0, 11846166.0, 11846166.0, 11846166.0, 11846166.0, 11846166.0, 11846166.0, 11846166.0, 11846166.0, 5175737.0, 11846166.0, 11846166.0, 11846166.0, 5175737.0, 5175737.0, 5175737.0, 5175737.0, 5175737.0]","[1100, 825, 825, 825, 825, 825, 825, 825, 825, 825, 825, 825, 825, 825, 302, 825, 825, 825, 302, 302, 302, 302, 302]"
84216,303.0,47215547.0,269045873.0,"[12161841.0, 16055252.0, 16055252.0, 16055252.0, 16055252.0, 16055252.0, 16055252.0, 16055252.0, 16055252.0, 16055252.0, 16055252.0, 16055252.0, 16055252.0, 16055252.0, 16055252.0, 16055252.0, 16055252.0]","[850, 1140, 1140, 1140, 1140, 1140, 1140, 1140, 1140, 1140, 1140, 1140, 1140, 1140, 1140, 1140, 1140]"
84903,303.0,47655778.0,257617020.0,"[16163267.0, 12222281.0, 12222281.0, 12222281.0, 12222281.0, 12222281.0, 12222281.0, 12222281.0, 12222281.0, 12222281.0, 12222281.0, 12222281.0, 12222281.0, 12222281.0, 5612496.0, 12222281.0, 12222281.0, 12222281.0, 5612496.0, 5612496.0, 5612496.0, 5612496.0, 5612496.0, 12222281.0]","[1150, 857, 857, 857, 857, 857, 857, 857, 857, 857, 857, 857, 857, 857, 336, 857, 857, 857, 336, 336, 336, 336, 336, 857]"
87414,303.0,49273115.0,272881093.0,"[16871941.0, 12618606.0, 12618606.0, 12618606.0, 12618606.0, 12618606.0, 12618606.0, 12618606.0, 12618606.0, 12618606.0, 12618606.0, 12618606.0, 12618606.0, 12618606.0, 5927550.0, 12618606.0, 12618606.0, 12618606.0, 5927550.0, 5927550.0, 5927550.0, 5927550.0, 5927550.0, 12618606.0, 5927550.0]","[1200, 879, 879, 879, 879, 879, 879, 879, 879, 879, 879, 879, 879, 879, 354, 879, 879, 879, 354, 354, 354, 354, 354, 879, 354]"
89217,303.0,50432722.0,289221843.0,"[12764147.0, 17278606.0, 17278606.0, 17278606.0, 17278606.0, 17278606.0, 17278606.0, 17278606.0, 17278606.0, 17278606.0, 17278606.0, 17278606.0, 17278606.0, 17278606.0, 17278606.0, 17278606.0, 17278606.0]","[900, 1237, 1237, 1237, 1237, 1237, 1237, 1237, 1237, 1237, 1237, 1237, 1237, 1237, 1237, 1237, 1237]"
90057,303.0,50973836.0,291324523.0,"[17503079.0, 12820131.0, 12820131.0, 12820131.0, 12820131.0, 12820131.0, 12820131.0, 12820131.0, 12820131.0, 12820131.0, 12820131.0, 12820131.0, 12820131.0, 12820131.0, 6151298.0, 12820131.0, 12820131.0, 12820131.0, 6151298.0, 6151298.0, 6151298.0, 6151298.0, 6151298.0, 12820131.0, 6151298.0, 12820131.0]","[1250, 909, 909, 909, 909, 909, 909, 909, 909, 909, 909, 909, 909, 909, 380, 909, 909, 909, 380, 380, 380, 380, 380, 909, 380, 909]"
92407,303.0,52486907.0,309128345.0,"[17877858.0, 12960796.0, 12960796.0, 12960796.0, 12960796.0, 12960796.0, 12960796.0, 12960796.0, 12960796.0, 12960796.0, 12960796.0, 12960796.0, 12960796.0, 12960796.0, 6427909.0, 12960796.0, 12960796.0, 12960796.0, 6427909.0, 6427909.0, 6427909.0, 6427909.0, 6427909.0, 12960796.0, 6427909.0, 12960796.0, 12960796.0]","[1300, 929, 929, 929, 929, 929, 929, 929, 929, 929, 929, 929, 929, 929, 397, 929, 929, 929, 397, 397, 397, 397, 397, 929, 397, 929, 929]"
94474,303.0,53821388.0,324414215.0,"[13151117.0, 18309594.0, 18309594.0, 18309594.0, 18309594.0, 18309594.0, 18309594.0, 18309594.0, 18309594.0, 18309594.0, 18309594.0, 18309594.0, 18309594.0, 18309594.0, 18309594.0, 18309594.0, 18309594.0, 18309594.0]","[950, 1339, 1339, 1339, 1339, 1339, 1339, 1339, 1339, 1339, 1339, 1339, 1339, 1339, 1339, 1339, 1339, 1339]"
95181,303.0,54275572.0,323360756.0,"[18486354.0, 13208342.0, 13208342.0, 13208342.0, 13208342.0, 13208342.0, 13208342.0, 13208342.0, 13208342.0, 13208342.0, 13208342.0, 13208342.0, 13208342.0, 13208342.0, 6739488.0, 13208342.0, 13208342.0, 13208342.0, 6739488.0, 6739488.0, 6739488.0, 6739488.0, 6739488.0, 13208342.0, 6739488.0, 13208342.0, 13208342.0, 6739488.0]","[1350, 958, 958, 958, 958, 958, 958, 958, 958, 958, 958, 958, 958, 958, 423, 958, 958, 958, 423, 423, 423, 423, 423, 958, 423, 958, 958, 423]"
97813,303.0,55968816.0,26023271.0,"[7093470.0, 18929801.0]","[450, 1395]"
97962,303.0,56064919.0,340259089.0,"[18969663.0, 13539133.0, 13539133.0, 13539133.0, 13539133.0, 13539133.0, 13539133.0, 13539133.0, 13539133.0, 13539133.0, 13539133.0, 13539133.0, 13539133.0, 13539133.0, 7116211.0, 13539133.0, 13539133.0, 13539133.0, 7116211.0, 7116211.0, 7116211.0, 7116211.0, 7116211.0, 13539133.0, 7116211.0, 13539133.0, 13539133.0, 7116211.0, 7116211.0]","[1400, 987, 987, 987, 987, 987, 987, 987, 987, 987, 987, 987, 987, 987, 451, 987, 987, 987, 451, 451, 451, 451, 451, 987, 451, 987, 987, 451, 451]"
99189,303.0,56858917.0,359607697.0,"[13643647.0, 19220225.0, 19220225.0, 19220225.0, 19220225.0, 19220225.0, 19220225.0, 19220225.0, 19220225.0, 19220225.0, 19220225.0, 19220225.0, 19220225.0, 19220225.0, 19220225.0, 19220225.0, 19220225.0, 19220225.0, 19220225.0]","[1000, 1426, 1426, 1426, 1426, 1426, 1426, 1426, 1426, 1426, 1426, 1426, 1426, 1426, 1426, 1426, 1426, 1426, 1426]"
100580,303.0,57748805.0,356652720.0,"[19550303.0, 13824043.0, 13824043.0, 13824043.0, 13824043.0, 13824043.0, 13824043.0, 13824043.0, 13824043.0, 13824043.0, 13824043.0, 13824043.0, 13824043.0, 13824043.0, 7444560.0, 13824043.0, 13824043.0, 13824043.0, 7444560.0, 7444560.0, 7444560.0, 7444560.0, 7444560.0, 13824043.0, 7444560.0, 13824043.0, 13824043.0, 7444560.0, 7444560.0, 7444560.0]","[1450, 1019, 1019, 1019, 1019, 1019, 1019, 1019, 1019, 1019, 1019, 1019, 1019, 1019, 481, 1019, 1019, 1019, 481, 481, 481, 481, 481, 1019, 481, 1019, 1019, 481, 481, 481]"
102565,303.0,59025552.0,47617897.0,"[7685341.0, 19966278.0, 19966278.0]","[500, 1498, 1498]"
102728,303.0,59130902.0,378269106.0,"[19995696.0, 14058220.0, 14058220.0, 14058220.0, 14058220.0, 14058220.0, 14058220.0, 14058220.0, 14058220.0, 14058220.0, 14058220.0, 14058220.0, 14058220.0, 14058220.0, 7710901.0, 14058220.0, 14058220.0, 14058220.0, 7710901.0, 7710901.0, 7710901.0, 7710901.0, 7710901.0, 14058220.0, 7710901.0, 14058220.0, 14058220.0, 7710901.0, 7710901.0, 7710901.0, 14058220.0]","[1500, 1037, 1037, 1037, 1037, 1037, 1037, 1037, 1037, 1037, 1037, 1037, 1037, 1037, 501, 1037, 1037, 1037, 501, 501, 501, 501, 501, 1037, 501, 1037, 1037, 501, 501, 501, 1037]"
103674,303.0,59741696.0,377159590.0,"[14237164.0, 20162357.0, 20162357.0, 20162357.0, 20162357.0, 20162357.0, 20162357.0, 20162357.0, 20162357.0, 20162357.0, 20162357.0, 20162357.0, 20162357.0, 20162357.0, 20162357.0, 20162357.0, 20162357.0, 20162357.0, 20162357.0]","[1050, 1513, 1513, 1513, 1513, 1513, 1513, 1513, 1513, 1513, 1513, 1513, 1513, 1513, 1513, 1513, 1513, 1513, 1513]"
106389,303.0,61488690.0,406465322.0,"[20786243.0, 14490209.0, 14490209.0, 14490209.0, 14490209.0, 14490209.0, 14490209.0, 14490209.0, 14490209.0, 14490209.0, 14490209.0, 14490209.0, 14490209.0, 14490209.0, 8138469.0, 14490209.0, 14490209.0, 14490209.0, 8138469.0, 8138469.0, 8138469.0, 8138469.0, 8138469.0, 14490209.0, 8138469.0, 14490209.0, 14490209.0, 8138469.0, 8138469.0, 8138469.0, 14490209.0, 14490209.0]","[1550, 1075, 1075, 1075, 1075, 1075, 1075, 1075, 1075, 1075, 1075, 1075, 1075, 1075, 534, 1075, 1075, 1075, 534, 534, 534, 534, 534, 1075, 534, 1075, 1075, 534, 534, 534, 1075, 1075]"
108432,303.0,62802606.0,72000585.0,"[8377545.0, 21207680.0, 21207680.0, 21207680.0]","[550, 1582, 1582, 1582]"
108716,303.0,62984547.0,419308923.0,"[14755489.0, 21292286.0, 21292286.0, 21292286.0, 21292286.0, 21292286.0, 21292286.0, 21292286.0, 21292286.0, 21292286.0, 21292286.0, 21292286.0, 21292286.0, 21292286.0, 21292286.0, 21292286.0, 21292286.0, 21292286.0, 21292286.0, 21292286.0]","[1100, 1589, 1589, 1589, 1589, 1589, 1589, 1589, 1589, 1589, 1589, 1589, 1589, 1589, 1589, 1589, 1589, 1589, 1589, 1589]"
109300,303.0,63359304.0,426495868.0,"[21438918.0, 14838317.0, 14838317.0, 14838317.0, 14838317.0, 14838317.0, 14838317.0, 14838317.0, 14838317.0, 14838317.0, 14838317.0, 14838317.0, 14838317.0, 14838317.0, 8495663.0, 14838317.0, 14838317.0, 14838317.0, 8495663.0, 8495663.0, 8495663.0, 8495663.0, 8495663.0, 14838317.0, 8495663.0, 14838317.0, 14838317.0, 8495663.0, 8495663.0, 8495663.0, 14838317.0, 14838317.0, 8495663.0]","[1600, 1108, 1108, 1108, 1108, 1108, 1108, 1108, 1108, 1108, 1108, 1108, 1108, 1108, 555, 1108, 1108, 1108, 555, 555, 555, 555, 555, 1108, 555, 1108, 1108, 555, 555, 555, 1108, 1108, 555]"
112122,303.0,65174733.0,455590619.0,"[15235319.0, 22017765.0, 22017765.0, 22017765.0, 22017765.0, 22017765.0, 22017765.0, 22017765.0, 22017765.0, 22017765.0, 22017765.0, 22017765.0, 22017765.0, 22017765.0, 22017765.0, 22017765.0, 22017765.0, 22017765.0, 22017765.0, 22017765.0, 22017765.0]","[1150, 1642, 1642, 1642, 1642, 1642, 1642, 1642, 1642, 1642, 1642, 1642, 1642, 1642, 1642, 1642, 1642, 1642, 1642, 1642, 1642]"
112422,303.0,65367211.0,447742052.0,"[22078121.0, 15254539.0, 15254539.0, 15254539.0, 15254539.0, 15254539.0, 15254539.0, 15254539.0, 15254539.0, 15254539.0, 15254539.0, 15254539.0, 15254539.0, 15254539.0, 8776551.0, 15254539.0, 15254539.0, 15254539.0, 8776551.0, 8776551.0, 8776551.0, 8776551.0, 8776551.0, 15254539.0, 8776551.0, 15254539.0, 15254539.0, 8776551.0, 8776551.0, 8776551.0, 15254539.0, 15254539.0, 8776551.0, 8776551.0]","[1650, 1153, 1153, 1153, 1153, 1153, 1153, 1153, 1153, 1153, 1153, 1153, 1153, 1153, 581, 1153, 1153, 1153, 581, 581, 581, 581, 581, 1153, 581, 1153, 1153, 581, 581, 581, 1153, 1153, 581, 581]"
116027,303.0,67683766.0,471940368.0,"[22647248.0, 15448558.0, 15448558.0, 15448558.0, 15448558.0, 15448558.0, 15448558.0, 15448558.0, 15448558.0, 15448558.0, 15448558.0, 15448558.0, 15448558.0, 15448558.0, 9118737.0, 15448558.0, 15448558.0, 15448558.0, 9118737.0, 9118737.0, 9118737.0, 9118737.0, 9118737.0, 15448558.0, 9118737.0, 15448558.0, 15448558.0, 9118737.0, 9118737.0, 9118737.0, 15448558.0, 15448558.0, 9118737.0, 9118737.0, 15448558.0]","[1700, 1164, 1164, 1164, 1164, 1164, 1164, 1164, 1164, 1164, 1164, 1164, 1164, 1164, 599, 1164, 1164, 1164, 599, 599, 599, 599, 599, 1164, 599, 1164, 1164, 599, 599, 599, 1164, 1164, 599, 599, 1164]"
116109,303.0,67735999.0,99785103.0,"[9125299.0, 22664951.0, 22664951.0, 22664951.0, 22664951.0]","[600, 1700, 1700, 1700, 1700]"
121873,303.0,71440551.0,505817174.0,"[23999381.0, 16144745.0, 16144745.0, 16144745.0, 16144745.0, 16144745.0, 16144745.0, 16144745.0, 16144745.0, 16144745.0, 16144745.0, 16144745.0, 16144745.0, 16144745.0, 9741031.0, 16144745.0, 16144745.0, 16144745.0, 9741031.0, 9741031.0, 9741031.0, 9741031.0, 9741031.0, 16144745.0, 9741031.0, 16144745.0, 16144745.0, 9741031.0, 9741031.0, 9741031.0, 16144745.0, 16144745.0, 9741031.0, 9741031.0, 16144745.0, 9741031.0]","[1750, 1189, 1189, 1189, 1189, 1189, 1189, 1189, 1189, 1189, 1189, 1189, 1189, 1189, 625, 1189, 1189, 1189, 625, 625, 625, 625, 625, 1189, 625, 1189, 1189, 625, 625, 625, 1189, 1189, 625, 625, 1189, 625]"
122670,303.0,71954358.0,523129601.0,"[16244600.0, 24137381.0, 24137381.0, 24137381.0, 24137381.0, 24137381.0, 24137381.0, 24137381.0, 24137381.0, 24137381.0, 24137381.0, 24137381.0, 24137381.0, 24137381.0, 24137381.0, 24137381.0, 24137381.0, 24137381.0, 24137381.0, 24137381.0, 24137381.0, 24137381.0]","[1200, 1765, 1765, 1765, 1765, 1765, 1765, 1765, 1765, 1765, 1765, 1765, 1765, 1765, 1765, 1765, 1765, 1765, 1765, 1765, 1765, 1765]"
125746,303.0,73930843.0,527812919.0,"[24670187.0, 16436855.0, 16436855.0, 16436855.0, 16436855.0, 16436855.0, 16436855.0, 16436855.0, 16436855.0, 16436855.0, 16436855.0, 16436855.0, 16436855.0, 16436855.0, 10109423.0, 16436855.0, 16436855.0, 16436855.0, 10109423.0, 10109423.0, 10109423.0, 10109423.0, 10109423.0, 16436855.0, 10109423.0, 16436855.0, 16436855.0, 10109423.0, 10109423.0, 10109423.0, 16436855.0, 16436855.0, 10109423.0, 10109423.0, 16436855.0, 10109423.0, 10109423.0]","[1800, 1213, 1213, 1213, 1213, 1213, 1213, 1213, 1213, 1213, 1213, 1213, 1213, 1213, 643, 1213, 1213, 1213, 643, 643, 643, 643, 643, 1213, 643, 1213, 1213, 643, 643, 643, 1213, 1213, 643, 643, 1213, 643, 643]"
126586,303.0,74471253.0,134464623.0,"[10229123.0, 24847100.0, 24847100.0, 24847100.0, 24847100.0, 24847100.0]","[650, 1810, 1810, 1810, 1810, 1810]"
129366,303.0,76262261.0,559930761.0,"[25455325.0, 16839962.0, 16839962.0, 16839962.0, 16839962.0, 16839962.0, 16839962.0, 16839962.0, 16839962.0, 16839962.0, 16839962.0, 16839962.0, 16839962.0, 16839962.0, 10511165.0, 16839962.0, 16839962.0, 16839962.0, 10511165.0, 10511165.0, 10511165.0, 10511165.0, 10511165.0, 16839962.0, 10511165.0, 16839962.0, 16839962.0, 10511165.0, 10511165.0, 10511165.0, 16839962.0, 16839962.0, 10511165.0, 10511165.0, 16839962.0, 10511165.0, 10511165.0, 16839962.0]","[1850, 1234, 1234, 1234, 1234, 1234, 1234, 1234, 1234, 1234, 1234, 1234, 1234, 1234, 667, 1234, 1234, 1234, 667, 667, 667, 667, 667, 1234, 667, 1234, 1234, 667, 667, 667, 1234, 1234, 667, 667, 1234, 667, 667, 1234]"
132217,303.0,78087478.0,589183335.0,"[17097227.0, 26003914.0, 26003914.0, 26003914.0, 26003914.0, 26003914.0, 26003914.0, 26003914.0, 26003914.0, 26003914.0, 26003914.0, 26003914.0, 26003914.0, 26003914.0, 26003914.0, 26003914.0, 26003914.0, 26003914.0, 26003914.0, 26003914.0, 26003914.0, 26003914.0, 26003914.0]","[1250, 1875, 1875, 1875, 1875, 1875, 1875, 1875, 1875, 1875, 1875, 1875, 1875, 1875, 1875, 1875, 1875, 1875, 1875, 1875, 1875, 1875, 1875]"
133587,303.0,78969415.0,590632168.0,"[26212090.0, 17182267.0, 17182267.0, 17182267.0, 17182267.0, 17182267.0, 17182267.0, 17182267.0, 17182267.0, 17182267.0, 17182267.0, 17182267.0, 17182267.0, 17182267.0, 10860405.0, 17182267.0, 17182267.0, 17182267.0, 10860405.0, 10860405.0, 10860405.0, 10860405.0, 10860405.0, 17182267.0, 10860405.0, 17182267.0, 17182267.0, 10860405.0, 10860405.0, 10860405.0, 17182267.0, 17182267.0, 10860405.0, 10860405.0, 17182267.0, 10860405.0, 10860405.0, 17182267.0, 17182267.0]","[1900, 1255, 1255, 1255, 1255, 1255, 1255, 1255, 1255, 1255, 1255, 1255, 1255, 1255, 688, 1255, 1255, 1255, 688, 688, 688, 688, 688, 1255, 688, 1255, 1255, 688, 688, 688, 1255, 1255, 688, 688, 1255, 688, 688, 1255, 1255]"
135804,303.0,80398916.0,171362953.0,"[11164639.0, 26699719.0, 26699719.0, 26699719.0, 26699719.0, 26699719.0, 26699719.0]","[700, 1915, 1915, 1915, 1915, 1915, 1915]"
139995,303.0,82644322.0,632352107.0,"[27752096.0, 17646631.0, 17646631.0, 17646631.0, 17646631.0, 17646631.0, 17646631.0, 17646631.0, 17646631.0, 17646631.0, 17646631.0, 17646631.0, 17646631.0, 17646631.0, 11673874.0, 17646631.0, 17646631.0, 17646631.0, 11673874.0, 11673874.0, 11673874.0, 11673874.0, 11673874.0, 17646631.0, 11673874.0, 17646631.0, 17646631.0, 11673874.0, 11673874.0, 11673874.0, 17646631.0, 17646631.0, 11673874.0, 11673874.0, 17646631.0, 11673874.0, 11673874.0, 17646631.0, 17646631.0, 17646631.0]","[1950, 1268, 1268, 1268, 1268, 1268, 1268, 1268, 1268, 1268, 1268, 1268, 1268, 1268, 718, 1268, 1268, 1268, 718, 718, 718, 718, 718, 1268, 718, 1268, 1268, 718, 718, 718, 1268, 1268, 718, 718, 1268, 718, 718, 1268, 1268, 1268]"
144502,409.0,1841533.0,407775.0,"[297568.0, 110207.0]","[100, 38]"
